what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1407349961793
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1407349961794
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1407349961795
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1407349961796
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1407349961797
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1407349961799
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1407349961800
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1407349961801
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1407349961802
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1407349961803
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1407349961804
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1407349961806
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1407349961808
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1407349961809
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1407349961811
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1407349961812
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1407349961814
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1407349961815
os,sysinfo,,,"win32",1407349961818
arch,sysinfo,,,"x86_64",1407349961818
ws,sysinfo,,,"win32",1407349961818
locale,sysinfo,,,"en_US",1407349961818
processors,sysinfo,,,"8",1407349961818
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1407349961818
java.runtime.version,sysinfo,,,"1.8.0_05-b13",1407349961818
java.specification.name,sysinfo,,,"Java Platform API Specification",1407349961818
java.specification.vendor,sysinfo,,,"Oracle Corporation",1407349961818
java.specification.version,sysinfo,,,"1.8",1407349961818
java.vendor,sysinfo,,,"Oracle Corporation",1407349961818
java.version,sysinfo,,,"1.8.0_05",1407349961818
